word,count
a,9081174698
i,3086225277
c,596623239
e,593086170
s,565123981
x,508609523
n,437961375
b,419765694
t,388448018
d,361493758
m,341583838
r,323534251
p,303249898
f,297285731
l,252900442
w,252231566
o,246429812
g,227771642
h,220523502
v,204486977
k,195647953
y,195011703
j,180739802
u,179615587
q,139563801
z,132095202
